任务组编号,X,Y
1,22704,21807
1,25499,24186
1,25633,24095
2,31596,22332
2,29577,24007
2,28894,24037
3,28994,23885
3,26971,24240
3,26971,24321
3,25809,24078
3,25878,24474
4,26741,24543
4,26158,24293
5,28713,24512
5,28919,24322
5,28584,23915
6,29810,23962
6,29229,24444
6,29061,24929
7,25906,24229
7,26174,25156
8,27387,24584
8,26774,24356
9,29191,25041
9,28988,25120
9,29247,25115
9,29341,24748
10,28736,24757
10,28631,26344
10,27154,24629
10,27168,24697
10,28306,24469
10,28678,24998
10,28816,24550
11,26424,24756
11,26104,25271
12,25731,24139
12,25649,24987
13,25381,25114
13,25183,24887
13,25638,25171
14,19285,33767
14,19635,34012
15,35541,24197
15,35017,22121
15,32181,23521
15,32096,22635
15,32605,24119
16,32780,20903
16,32420,19034
16,30313,20312
16,30892,20898
16,31351,20342
16,30012,20653
17,33800,15303
17,31437,16378
17,30938,16236
17,30883,16694
17,31039,15674
18,29850,15793
18,28727,14439
18,27181,16752
18,28699,16434
18,28486,16236
18,27201,16155
19,27349,10291
19,26184,11942
19,24312,11261
19,24866,12510
19,24520,10696
20,22552,8437
20,22505,11603
20,19713,9567
20,20541,11320
20,19486,9087
21,19679,10730
21,19405,12482
21,17376,11467
21,18765,12665
21,20513,12109
21,17059,11059
22,17648,13562
22,17189,14745
22,15756,14099
22,17826,14190
22,17555,14946
22,15158,13787
23,13590,16742
23,14831,17271
23,11637,17332
23,13638,18380
23,11153,17103
24,15365,19740
24,15943,19757
24,13356,20052
24,15144,19691
24,14844,21503
24,12755,19970
25,13441,22675
25,15140,22802
25,11750,22544
25,14454,23010
25,11045,22770
26,14382,25252
26,15182,24700
26,12616,24649
26,14606,23434
26,14826,25814
26,11889,25216
27,15740,27584
27,15983,27250
27,14110,27637
27,15259,27043
27,15426,25014
27,13226,27768
28,15671,30816
28,16053,29722
28,13851,30363
28,15351,28333
28,16044,29580
28,13195,30827
29,18459,33503
29,17607,31580
29,16655,32490
29,17076,31581
29,18110,32592
29,15870,33399
30,20226,35195
30,18517,33792
30,18787,33053
30,17870,34191
30,17367,32304
30,17461,35060
31,31784,23796
31,31755,23839
32,31374,20649
32,31232,20703
33,30507,15702
33,30189,15394
34,26889,16314
34,26351,15875
35,23784,10688
35,23670,10416
36,18909,8999
36,18636,8807
37,16708,10939
37,16209,10779
38,14954,13568
38,14308,13507
39,10818,17126
39,10303,16823
40,12414,19818
40,11905,19690
41,10698,22466
41,10195,22490
42,11605,24793
42,11039,24936
43,13005,27813
43,12376,27488
44,12982,30665
44,12345,30547
45,15631,33024
45,15020,33119
46,17151,34658
46,16611,34780
47,32937,23292
47,31825,23121
48,31069,20083
48,30601,20013
49,31694,16007
49,30942,16375
50,27937,16523
50,27342,16974
51,25068,11032
51,24094,11310
52,20469,9338
52,19640,9511
53,18132,11238
53,17620,11401
54,16512,13870
54,16217,13982
55,12393,17103
55,11930,17358
56,14112,19823
56,13747,19927
57,12506,22315
57,12132,22214
58,13372,24420
58,13067,24155
59,14866,27408
59,14694,27673
60,14607,30134
60,14339,30181
61,17411,32261
61,17190,31972
62,18626,33962
62,18286,33663
63,35309,23372
63,32675,23401
63,33481,22229
63,32264,23434
63,29128,19827
63,30903,22359
63,31326,21646
64,34353,20185
64,31451,20293
64,33204,19848
64,31977,20473
64,29405,19827
64,31888,20222
65,34572,16645
65,31792,16655
65,32156,17148
65,31233,16188
65,29685,19922
65,30232,17722
65,30031,16754
66,30827,17403
66,28192,17254
66,29716,15846
66,28043,16686
66,29928,19875
66,29023,16116
67,27715,11468
67,24944,11590
67,26474,12576
67,24352,11219
67,20596,14268
67,25290,13771
67,23911,13165
68,23147,9532
68,20490,9791
68,21425,11157
68,19878,9542
68,20873,14268
68,21065,12189
68,19874,12660
69,21178,11530
69,18470,11681
69,19817,12801
69,18030,11348
69,21153,14363
69,19734,12460
70,19980,14236
70,17067,14262
70,17966,14959
70,16429,13805
70,21396,14316
70,18092,14826
71,15568,17501
71,12780,17638
71,15042,18060
71,12223,17545
71,16372,21543
71,15108,18741
71,14702,19208
72,17469,20100
72,14597,20207
72,16599,20433
72,13828,20020
72,16649,21543
