rank,grid_x,grid_y,center_x,center_y,relative_congestion,traffic_flow,free_area_ratio
1,63,31,37187.5,19215.0,1824.7194750855867,645.0,0.3534789915966381
2,63,32,37187.5,19845.0,1765.3100038037305,624.0,0.3534789915966381
3,60,15,35402.5,9135.0,1751.2200636882458,781.0,0.4459747899159717
4,49,37,28857.5,22995.0,1744.2503795013567,659.533383337021,0.3781185264959307
5,62,18,36592.5,11025.0,1694.3327336226043,753.3999999999999,0.444658823529412
6,60,14,35402.5,8505.0,1679.467128940456,749.0,0.4459747899159717
7,62,19,36592.5,11655.0,1670.4942321938822,742.8000000000001,0.444658823529412
8,32,4,18742.5,2205.0,1478.6066650235252,638.0,0.43148730158730153
9,60,16,35402.5,9765.0,1443.8191954493304,781.0,0.5409264556542658
10,54,29,31832.5,17955.0,1371.6784329546258,526.51012145749,0.3838436974789896
11,51,28,30047.5,17325.0,1299.6242713168915,529.0,0.40704072067226904
12,24,37,13982.5,22995.0,1294.292863100206,639.0,0.4937058823529399
13,51,27,30047.5,16695.0,1289.9795081967213,529.0,0.41008403361344536
14,60,17,35402.5,10395.0,1277.6290639386436,922.0,0.721649206349205
15,7,32,3867.5,19845.0,1262.9996241072567,528.0,0.4180523809523803
16,8,32,4462.5,19845.0,1184.062147600553,495.0,0.4180523809523803
17,33,4,19337.5,2205.0,1176.9947790567112,717.0,0.6091785730558901
18,24,36,13982.5,22365.0,1164.6610270463511,575.0,0.4937058823529399
19,61,17,35997.5,10395.0,1116.8861448313958,806.0,0.721649206349205
20,62,36,36592.5,22365.0,1058.2244085553218,505.56923076923067,0.4777523809523815
