n,sigma,aspect,RBE,RML,fk
3,1381.1356036086954,1.2311895754518705,5308,5308,27
3,3427.2190256824847,1.5847507331378299,4407,4407,13
5,1593.6167952177211,5.407470288624788,3774,4017,25
2,1040.2147314376969,2.332,833,833,34
3,2253.509663958767,0.5611390284757118,932,932,33
3,2486.9887693531887,0.7745604963805585,1716,1716,19
2,755.2040701029093,0.2891046386192017,1195,1195,23
2,1325.5740973253814,2.68859649122807,841,841,9
4,2097.633037348287,0.9489247311827957,725,781,21
7,1767.1424717056977,0.8864,3537,3789,46
2,660.9770703284646,0.6213592233009708,835,835,29
2,638.9528542858229,0.09669811320754718,930,930,15
3,233.11442111832835,1.602112676056338,739,739,14
2,7216.33100595448,1.4285714285714286,595,595,18
5,5223.741380466687,1.6594412331406552,5521,7005,12
6,5534.553999395274,1.4810058855002675,4637,5534,42
5,7828.528160516509,2.0970524802300505,4308,4807,15
6,6251.668365657815,1.1539126675313445,4982,5261,14
5,7122.926104488239,1.3686345200540784,5256,6502,18
5,5627.774328275788,0.9684144030322173,6232,8465,35
6,3665.5463468401726,1.785012919896641,5389,6711,34
6,1541.3946854679657,1.9277456647398843,4052,4821,20
5,2432.630019135668,2.2454212454212454,5316,5545,24
6,2923.0480191440956,1.7593818984547462,5000,5099,23
5,4923.158243444954,8.78755364806867,4561,4656,27
6,5556.042408945417,1.3836134453781512,5673,6496,26
6,6121.483226219679,1.0010893246187365,5511,5992,43
6,7522.197172738531,1.1459502806736166,5352,6267,29
6,7658.278884463677,1.3463338533541342,4512,5952,15
6,7845.1125704514625,0.9889311656866137,5750,7723,32
2,3976.0422847349096,0.6744186046511628,72,72,28
2,5313.77147137511,2.6296296296296298,196,196,14
2,7401.655118958191,1.0324675324675325,626,626,31
2,5268.47304135648,1.2255125284738042,977,977,17
2,6588.325185508074,0.41911764705882354,386,386,34
2,4936.16062213336,1.421875,465,465,20
2,2805.8733377506546,3.11875,659,659,6
2,592.9293275762298,10.59016393442623,707,707,23
2,3213.9505674481056,1.6996699669966997,818,818,9
2,3801.781251926523,3.9765625,637,637,26
2,6018.3840179486715,20.958333333333332,527,527,12
2,6774.394968371715,3.958041958041958,709,709,29
2,7484.187213719336,1.9353846153846155,954,954,15
2,8974.17339856435,5.398305084745763,755,755,32
2,8875.692775778125,6.431578947368421,706,706,18
2,8921.147431804948,4.426229508196721,662,662,35
2,4604.463669907713,6.502923976608187,1283,1283,21
2,5396.094212483692,6.685714285714286,538,538,7
2,7569.289811468445,2.0434782608695654,1120,1120,24
2,5451.894028683976,1.319290465631929,1046,1046,10
2,6714.556575083719,3.5035971223021583,1252,1252,27
2,5323.42664549818,4.791907514450867,1002,1002,13
2,3283.749714503223,3.1411042944785277,675,675,30
2,1224.3433699334514,2.6339285714285716,407,407,16
2,2541.3804319699952,1.815686274509804,718,718,33
2,2975.7768208486336,3.5096153846153846,469,469,19
2,4974.635884916604,3.702970297029703,475,475,36
2,5535.843409093144,1.150943396226415,570,570,22
2,6381.227639529873,0.6490566037735849,437,437,8
2,7842.839995020936,5.702127659574468,315,315,25
2,7409.116630881174,0.7647058823529411,510,510,11
2,7679.918501357941,1.137123745819398,639,639,28
7,5153.922344255125,1.713612420293873,9788,11383,17
6,6052.101478458169,7.659442724458204,5594,6039,21
7,7180.418911163604,1.30878414568827,8621,9325,20
6,6156.75874491242,0.6909903201787044,6813,7951,24
7,6311.535634560462,2.3348638897999345,10168,12655,23
7,5029.117296366455,0.691089527027027,8009,9805,40
6,3849.169509091828,1.0441127694859038,6163,7434,44
6,2387.4425123968954,4.304159445407279,6121,6327,30
7,2447.247830498078,1.0264720435428005,8191,9216,29
6,2586.2315610749165,2.3906762967826656,5164,5714,33
7,4047.6662342487616,1.986221294363257,7152,7660,32
6,4518.6642038881355,1.2829113924050632,7214,7578,36
6,5805.597621524898,1.9149722735674677,6308,6378,22
6,6795.507712922478,3.36535552193646,5771,6713,39
6,6614.270743794982,1.222457627118644,7343,7683,25
6,6844.246001813007,0.7673511293634497,8607,9761,42
2,8651.173836538022,3.7253521126760565,1342,1342,7
2,8655.215750488256,4.877470355731226,1487,1487,24
2,8707.919337447953,9.76086956521739,1485,1485,10
2,7112.084592438422,37.4,1344,1344,27
2,6566.933507162989,7.1891891891891895,1515,1515,13
2,5762.410579566506,26.425925925925927,1481,1481,30
2,3425.07594806305,14.975308641975309,1294,1294,16
2,2819.914626367259,6.537735849056604,1598,1598,33
2,984.3257527363592,17.539473684210527,1409,1409,19
2,3265.1955052492644,6.683333333333334,1383,1383,36
2,5472.643990796405,4.2714776632302405,1534,1534,22
2,7229.114503173953,3.8828125,1250,1250,8
2,5790.636250663652,5.511737089201878,1387,1387,25
2,7974.2313736184005,4.783783783783784,1284,1284,11
2,4705.034590733632,14.292307692307693,994,994,28
2,4468.73989509347,3.907488986784141,1114,1114,14
2,5361.310310922135,23.285714285714285,170,170,31
2,5431.637017281254,0.2711864406779661,225,225,17
2,6951.652789085485,3.6063348416289593,1018,1018,34
2,7088.169333473912,0.2526690391459075,1056,1056,20
3,7088.550237687691,2.147410358565737,2370,2370,19
3,5404.051301775569,0.3294334975369458,2159,2159,36
2,6231.120179189293,0.2483606557377049,1523,1523,9
2,5751.448486033757,0.12323491655969192,875,875,26
3,6871.71065553064,0.7153153153153153,4760,4760,25
2,5740.190213529513,0.282230869001297,4943,4943,29
2,5055.574565516762,0.18932874354561102,691,691,15
3,3970.2536302973,0.40992366412213743,3694,3694,14
2,3739.0940998455762,0.3462132921174652,871,871,18
3,4585.540877463518,0.3925081433224756,3420,3420,17
3,4369.352535940918,0.708185053380783,2400,2400,34
3,2924.3404052120122,0.5028471309680246,3431,3431,20
3,2416.269921456072,0.6921837228041902,2100,2100,37
2,2102.547502436033,1.6357142857142857,1476,1476,10
2,3176.374849966546,0.09536082474226804,3825,3825,27
3,3794.5657378531323,3.341698841698842,2249,2249,26
2,2005.9026646375441,0.906721536351166,1390,1390,30
2,2930.1896163047195,1.111439842209073,2141,2141,16
3,1732.3497930716983,0.6738015607580825,7507,7507,15
2,3056.3720732266875,1.244215938303342,3492,3492,19
2,3879.533316005934,0.3620689655172414,1106,1106,36
3,4285.837841076118,1.2384393063583814,3098,3098,35
2,5060.066026002032,8.18640350877193,4189,4189,8
2,5872.787131124369,1.981042654028436,1887,1887,25
3,5833.675161413163,1.3883357041251778,3358,3358,24
2,6546.955647474634,2.68,828,828,28
2,6759.006634669033,1.3853541416566626,1987,1987,14
3,6120.714167208485,1.199864956110736,6516,6516,13
2,6473.861806333219,1.2114014251781473,2793,2793,17
3,6817.465755934043,0.6590136054421769,1951,1951,16
2,5668.801129868642,0.1183533447684391,652,652,20
2,5292.836922435831,0.20301348136399683,1517,1517,6
3,5640.318164784678,0.2316546762589928,4280,4280,36
2,4845.09217533578,0.15807799442896936,1663,1663,9
3,4715.916786679859,1.688212927756654,2828,2828,8
2,3477.715872163797,0.40335790335790334,10281,10281,12
2,2089.081377065049,15.417582417582418,5976,5976,29
2,3321.2092206755055,0.009812782440284055,7821,7821,15
2,4081.1272569597727,4.732990280160092,10027,10027,32
2,5441.49724340645,0.9215686274509803,294,294,18
2,6444.086436415949,0.19133574007220217,660,660,35
2,8374.85864059806,2.4285714285714284,1296,1296,21
2,960.2917199997092,3.896153846153846,1273,1273,7
2,8453.993996922401,1.434077079107505,1200,1200,24
2,7185.331355442141,6.3273809523809526,1231,1231,10
2,6271.962785882901,3.981060606060606,1315,1315,27
2,8556.247804966848,11.020833333333334,1154,1154,13
2,3046.0861260804822,2.1334841628959276,1385,1385,30
2,5374.138692618567,1.7518987341772152,1087,1087,16
2,7349.046617589251,0.518664047151277,773,773,33
2,4090.0114532235725,0.05309734513274336,357,357,19
2,5636.118672233579,202.4,1017,1017,36
2,3532.2229102224,4.231111111111111,1177,1177,22
