设备名称,问题二_X,问题二_Y,问题四_X,问题四_Y,Q4相对Q2_ΔX,Q4相对Q2_ΔY,Q4相对Q2_曼哈顿移动,问题四相对原布局_曼哈顿移动
Mach1,28431,23878,28431,23878,0,0,0,0
Mach2,29042,24255,29042,24255,0,0,0,0
Mach3,28483,24118,28483,24118,0,0,0,0
Mach4,28111,23599,28111,23599,0,0,0,0
Mach5,28389,23035,28389,23035,0,0,0,0
Mach6,26258,23827,26258,23827,0,0,0,0
Mach7,25248,23423,25248,23423,0,0,0,0
Mach8,29372,23147,29372,23147,0,0,0,0
Mach9,28724,23442,28724,23442,0,0,0,0
Mach10,26949,23769,26949,23769,0,0,0,0
Mach11,25304,23316,25304,23316,0,0,0,0
Mach12,25774,23956,25774,23956,0,0,0,0
Mach13,24858,24171,24858,24171,0,0,0,0
Mach14,24403,23887,24403,23887,0,0,0,0
Mach15,24943,24299,24943,24299,0,0,0,0
Mach16,27781,25544,27781,25544,0,0,0,0
Mach17,19428,33130,19428,33130,0,0,0,0
Mach18,31474,23317,31474,23317,0,0,0,0
Mach19,28713,20023,28713,20023,0,0,0,0
Mach20,29733,14423,29733,14423,0,0,0,0
Mach21,25783,14913,25783,14913,0,0,0,0
Mach22,23282,9411,23282,9411,0,0,0,0
Mach23,15612,9850,15612,9850,0,0,0,0
Mach24,13581,12682,13581,12682,0,0,0,0
Mach25,9523,15862,9523,15862,0,0,0,0
Mach26,11298,18860,11298,18860,0,0,0,0
Mach27,9374,21795,9374,21795,0,0,0,0
Mach28,10315,24372,10315,24372,0,0,0,0
Mach29,11673,26704,11673,26704,0,0,0,0
Mach30,11604,29936,11604,29936,0,0,0,0
Mach31,16159,34315,16159,34315,0,0,0,0
Mach32,14392,32623,14392,32623,0,0,0,0
Mach33,29817,19783,29817,19783,0,0,0,0
Mach34,31027,19843,31027,19843,0,0,0,0
Mach35,31548,22984,31548,22984,0,0,0,0
Mach36,29982,14539,29982,14539,0,0,0,0
Mach37,26144,15020,26144,15020,0,0,0,0
Mach38,23463,9561,23463,9561,0,0,0,0
Mach39,18429,7952,18429,7952,0,0,0,0
Mach40,16002,9924,16002,9924,0,0,0,0
Mach41,14101,12652,14101,12652,0,0,0,0
Mach42,10096,15968,10096,15968,0,0,0,0
Mach43,11698,18835,11698,18835,0,0,0,0
Mach44,9988,21635,9988,21635,0,0,0,0
Mach45,10832,24081,10832,24081,0,0,0,0
Mach46,12169,26633,12169,26633,0,0,0,0
Mach47,12138,29692,12138,29692,0,0,0,0
Mach48,14813,32264,14813,32264,0,0,0,0
Mach49,16404,33925,16404,33925,0,0,0,0
Mach50,18219,7567,18219,7567,0,0,0,0
Mach51,19012,7200,19012,7200,0,0,0,0
Mach52,31891,21775,31891,21775,0,0,0,0
Mach53,30678,15834,30678,15834,0,0,0,0
Mach54,24661,11650,24661,11650,0,0,0,0
Mach55,20336,10460,20334,10074,-2,-386,388,388
Mach56,19529,11600,19131,10999,-398,-601,999,999
Mach57,19351,11352,19831,10922,480,-430,910,910
Mach58,14249,22150,14249,22150,0,0,0,0
Mach59,15696,26200,15696,26200,0,0,0,0
Mach60,14838,23282,14838,23282,0,0,0,0
Mach61,14426,24614,14339,25327,-87,713,800,800
Mach62,17718,30990,17718,30990,0,0,0,0
Mach63,18104,31330,17906,32429,-198,1099,1297,1297
Mach64,17165,31424,16906,32091,-259,667,926,926
Mach65,16536,30681,16536,30681,0,0,0,0
Mach66,15059,26208,15282,25922,223,-286,509,509
Mach67,15504,28680,15514,28931,10,251,261,261
Mach68,15156,27463,15379,27440,223,-23,246,246
Mach69,14566,23633,14612,23715,46,82,128,128
Mach70,14885,19790,14885,19790,0,0,0,0
Mach71,14124,21001,14033,20848,-91,-153,244,244
Mach72,14120,22136,14200,22156,80,20,100,100
Mach73,13433,17520,13433,17520,0,0,0,0
Mach74,13982,18706,14192,18411,210,-295,505,505
Mach75,14528,18241,14486,18367,-42,126,168,168
Mach76,18565,11830,18565,11830,0,0,0,0
Mach77,17015,14046,17112,13722,97,-324,421,421
Mach78,17631,13320,17558,13405,-73,85,158,158
Mach79,20065,11789,19757,11869,-308,80,388,388
Mach80,23371,12265,23357,12555,-14,290,304,304
Mach81,24970,12871,24637,12793,-333,-78,411,411
Mach82,29836,15884,29836,15884,0,0,0,0
Mach83,27946,15336,27939,15127,-7,-209,216,216
Mach84,28504,15564,28504,15564,0,0,0,0
Mach85,29912,16822,29987,16757,75,-65,140,140
Mach86,31131,20776,31131,20776,0,0,0,0
Mach87,30811,19442,31053,20517,242,1075,1317,1317
Mach88,30697,20028,29763,20465,-934,437,1371,1371
Mach89,30343,21459,30343,21459,0,0,0,0
Mach90,28823,18920,29151,18880,328,-40,368,368
Mach91,20291,13361,20354,12964,63,-397,460,460
Mach92,16067,20636,16103,20487,36,-149,185,185
Mach93,18369,28317,18159,29063,-210,746,956,956
Mach94,21343,21087,21654,21135,311,48,359,359
Mach95,30214,19776,30214,19776,0,0,0,0
Mach96,26601,23661,26601,23661,0,0,0,0
Mach97,26776,23360,26776,23360,0,0,0,0
Mach98,30782,19603,30782,19603,0,0,0,0
Mach99,23157,10349,23157,10349,0,0,0,0
Mach100,22624,9815,22624,9815,0,0,0,0
Mach101,15816,31753,15816,31753,0,0,0,0
Mach102,14471,32151,14471,32151,0,0,0,0
Mach103,15234,12935,15234,12935,0,0,0,0
Mach104,13794,12695,13794,12695,0,0,0,0
Mach105,17125,33272,17672,33344,547,72,619,619
Mach106,15991,33785,15991,33785,0,0,0,0
Mach107,13335,27088,13335,27088,0,0,0,0
Mach108,11845,26940,11845,26940,0,0,0,0
Mach109,11923,23636,11923,23636,0,0,0,0
Mach110,10445,23920,10445,23920,0,0,0,0
Mach111,13307,29676,13307,29676,0,0,0,0
Mach112,11822,29792,11822,29792,0,0,0,0
Mach113,11028,16675,11028,16675,0,0,0,0
Mach114,9658,16253,9658,16253,0,0,0,0
Mach115,26848,15816,26848,15816,0,0,0,0
Mach116,25729,15441,25729,15441,0,0,0,0
Mach117,30038,15318,30038,15318,0,0,0,0
Mach118,29347,14829,29347,14829,0,0,0,0
Mach119,31069,22564,31069,22564,0,0,0,0
Mach120,30624,22923,30624,22923,0,0,0,0
Mach121,10977,21568,10977,21568,0,0,0,0
Mach122,9538,21593,9538,21593,0,0,0,0
Mach123,12633,19150,12633,19150,0,0,0,0
Mach124,11254,18945,11254,18945,0,0,0,0
Mach125,16835,10478,16803,10422,-32,-56,88,88
Mach126,15548,10066,15548,10066,0,0,0,0
Mach127,18683,8672,18612,8783,-71,111,182,182
Mach128,17749,8126,17749,8126,0,0,0,0
Mach129,16813,33056,16813,33056,0,0,0,0
Mach130,15598,31355,15598,31355,0,0,0,0
Mach131,12794,29228,12794,29228,0,0,0,0
Mach132,13053,26502,13053,26502,0,0,0,0
Mach133,11559,23514,11559,23514,0,0,0,0
Mach134,10693,21409,10693,21409,0,0,0,0
Mach135,12299,18917,12299,18917,0,0,0,0
Mach136,10580,16197,10580,16197,0,0,0,0
Mach137,14699,12964,14699,12964,0,0,0,0
Mach138,16319,10332,16319,10332,0,0,0,0
Mach139,18656,8432,18656,8432,0,0,0,0
Mach140,23255,10126,23255,10126,0,0,0,0
Mach141,26124,15617,26124,15617,0,0,0,0
Mach142,29881,15101,29881,15101,0,0,0,0
Mach143,29256,19177,29256,19177,0,0,0,0
Mach144,31124,22386,31124,22386,0,0,0,0
Mach145,21424,31129,21424,31129,0,0,0,0
Mach146,29745,10780,29745,10780,0,0,0,0
Mach147,32152,13309,32152,13309,0,0,0,0
Mach148,35351,15462,35351,15462,0,0,0,0
Mach149,35642,18349,35642,18349,0,0,0,0
Mach150,19423,19182,19423,19182,0,0,0,0
Mach151,18952,32363,19000,32373,48,10,58,58
Mach152,36118,18366,36118,18366,0,0,0,0
Mach153,34295,15726,34295,15726,0,0,0,0
Mach154,32318,13388,32318,13388,0,0,0,0
Mach155,29195,11095,29195,11095,0,0,0,0
Mach156,19892,10483,19892,10483,0,0,0,0
Mach157,17491,11868,17491,11868,0,0,0,0
Mach158,15275,14131,15275,14131,0,0,0,0
Mach159,12917,16657,12917,16657,0,0,0,0
Mach160,12527,21682,12660,21545,133,-137,270,270
Mach161,13268,24086,12635,24062,-633,-24,657,657
Mach162,14069,26636,14147,26557,78,-79,157,157
Mach163,14139,29108,14085,29106,-54,-2,56,56
Mach164,18247,32153,18247,32153,0,0,0,0
Mach165,21220,10297,21224,10200,4,-97,101,101
Mach166,26269,11716,26269,11716,0,0,0,0
Mach167,14837,17200,14837,17200,0,0,0,0
Mach168,19612,11941,19612,11941,0,0,0,0
Mach169,16394,19573,16394,19573,0,0,0,0
Mach170,16373,27028,16373,27028,0,0,0,0
Mach171,15353,23891,15353,23891,0,0,0,0
Mach172,14148,21528,14148,21528,0,0,0,0
Mach173,18581,31156,18581,31156,0,0,0,0
Mach174,16385,29340,16385,29340,0,0,0,0
Mach175,14500,19138,14500,19138,0,0,0,0
Mach176,24741,11323,24741,11323,0,0,0,0
Mach177,30977,18415,31435,18485,458,70,528,528
Mach178,32999,18988,32999,18988,0,0,0,0
Mach179,16164,30961,16164,30961,0,0,0,0
Mach180,27284,13820,27284,13820,0,0,0,0
Mach181,29511,14986,29511,14986,0,0,0,0
Mach182,29994,15759,29994,15759,0,0,0,0
Mach183,31951,16288,31951,16288,0,0,0,0
Mach184,18027,32992,18027,32992,0,0,0,0
Mach185,21026,31120,21026,31120,0,0,0,0
Mach186,19158,19221,19158,19221,0,0,0,0
Mach187,33577,21131,33577,21131,0,0,0,0
Mach188,17761,14099,17761,14099,0,0,0,0
Mach189,33276,21369,33276,21369,0,0,0,0
Mach190,33600,20023,33600,20023,0,0,0,226
